"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Food available in Canada",32100054,002-0011,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210005401",,"CURRENT - a cube available to the public and that is current",Annual,1960-01-01,2017-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Food categories",,
3,Commodity,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,11124,1,,,,
2,"Food available",,1,,,12;13,
2,"Food available adjusted for losses",,2,,,14;19,
3,"Wheat flour",,1,,,,
3,"Rye flour",,2,,,,
3,"Oatmeal and rolled oats",,3,,,,
3,"Pot and pearl barley",,4,,,,
3,"Corn flour and meal",,5,,,,
3,Rice,,6,,,,
3,"Breakfast food",,7,,,,
3,"Sugar refined",,8,,,,
3,"Sugar refined, sugar content",,9,,,,
3,"Maple sugar",,10,,,,
3,"Maple sugar, sugar content",,11,,,,
3,Honey,,12,,,,
3,"Honey, sugar content",,13,,,,
3,"Dry beans",,14,,,,
3,"Baked and canned beans",,15,,,,
3,"Dry peas",,16,,,,
3,Peanuts,,17,,,,
3,"Tree nuts",,18,,,,
3,Tea,,19,,,,
3,"Tea, leaf equivalent",,20,,,,
3,Coffee,,21,,,,
3,"Coffee, green bean equivalent",,22,,,,
3,Cocoa,,23,,,,
3,"Cocoa, green bean equivalent",,24,,,,
3,"Ale, beer, stout and porter, total population",,25,,,16;18,
3,"Distilled spirits, total population",,26,,,16;18;20,
3,"Wines, total population",,27,,,16;18;21,
3,"Soft drinks",,28,,,,
3,"Bottled water",,29,,,,
3,"Cheddar cheese",,30,,,,
3,"Cheddar cheese, milk solids",,31,,,,
3,"Processed cheese",,32,,,,
3,"Processed cheese, milk solids",,33,,,,
3,"Variety cheese",,34,,,,
3,"Variety cheese, milk solids",,35,,,,
3,"Cottage cheese",,36,,,,
